id,scenario_id,question,response
63,7,Benötigen Sie eine hierarchische Sicht (Portfolio -> Gebäude -> Einheit)?,tree_view hierarchy
64,7,Müssen Dokumente (Verträge) direkt mit Objekten verknüpft werden?,document_linking metadata
65,7,Sollen wiederkehrende Zahlungen automatisch generiert werden?,scheduled_jobs automation
66,7,Ist eine Historisierung von Zustandsänderungen (Renovierung) nötig?,state_history lifecycle
67,7,Müssen Mieterdaten streng isoliert gespeichert werden (Mandantenfähigkeit)?,multi_tenancy row_security
68,7,Wie wichtig sind geografische Auswertungen des Portfolios?,geo_analytics visualization
69,7,Sollen Wartungsaufträge in einem Workflow verwaltet werden?,workflow status_tracking
70,7,Müssen Finanzdaten exportierbar für DATEV/SAP sein?,export integration
71,8,Wie niedrig muss die Latenz für Lese-/Schreibzugriffe sein?,low_latency in_memory
72,8,Müssen Highscores extrem schnell aktualisiert und sortiert werden?,sorted_set ranking
73,8,Sollen Spielzustände bei Serverabsturz erhalten bleiben?,persistence snapshot
74,8,Wie viele Spieler interagieren gleichzeitig in einer Session?,concurrency sharding
75,8,Müssen Inventar-Items transaktional sicher getauscht werden?,transaction atomicity
76,8,Ist das Datenmodell der Items sehr dynamisch (neue Attribute)?,schema_less json
77,8,Benötigen Sie Matchmaking basierend auf komplexen Kriterien?,query_performance indexing
78,8,Sollen Chat-Nachrichten dauerhaft gespeichert werden?,chat_log wide_column
79,8,Müssen Events für Analysen (Balancing) gestreamt werden?,event_streaming analytics
80,8,Ist globale Verfügbarkeit (Regionen) notwendig?,geo_replication cdn
81,9,Ist Datenverlust unter allen Umständen inakzeptabel?,durability wal
82,9,Müssen Transaktionen über mehrere Konten atomar sein?,two_phase_commit distributed_tx
83,9,Wie schnell müssen Betrugsmuster erkannt werden?,realtime_detection stream_processing
84,9,Benötigen Sie einen unveränderlichen Audit-Log aller Aktionen?,ledger blockchain_concept
85,9,Wie hoch ist das Volumen historischer Marktdaten?,big_data partitioning
86,9,Müssen komplexe Zeitreihenanalysen durchgeführt werden?,financial_analytics time_series
87,9,Ist das System strikt konsistent (CP im CAP-Theorem)?,consistency cp_system
88,9,Wie werden Währungsumrechnungen präzise gehandhabt?,decimal_precision fixed_point
89,9,Müssen regulatorische Reports (BaFin) schnell generiert werden?,reporting aggregation
90,9,Sollen Kundenprofile mit externen Daten angereichert werden?,data_enrichment integration
91,10,Müssen Vektoren (Embeddings) effizient durchsucht werden?,vector_search ann_index
92,10,Sollen Suchergebnisse nach Metadaten gefiltert werden (Pre-Filtering)?,metadata_filtering hybrid_search
93,10,Wie oft werden neue Dokumente in den Index aufgenommen?,ingest_rate indexing_speed
94,10,Müssen die Originaltexte zusammen mit den Vektoren gespeichert werden?,payload_storage document_store
95,10,Ist die semantische Ähnlichkeit wichtiger als exakte Keywords?,semantic_match dense_retrieval
96,10,Sollen verschiedene Embedding-Modelle unterstützt werden?,multi_model dimensionality
97,10,Wie wichtig ist die Skalierbarkeit bei Millionen von Vektoren?,horizontal_scaling sharding
98,10,Müssen Chunks (Textschnipsel) logisch miteinander verknüpft sein?,chunk_linking graph_rag
99,10,Sollen alte Embeddings automatisch aktualisiert werden?,reindexing maintenance
100,10,Ist eine Kombination aus Keyword- und Vektorsuche nötig?,hybrid_search bm25
